                           GameCube Game List.

    ----------------------------------------------------------------------------
    N    Game Title                                         Release Date  GameID
    ----------------------------------------------------------------------------

    Year 2001 (20 games).

    Dakar 2: The World's Ultimate Rally                     03/31/2003  
    Def Jam Vendetta                                        04/01/2003 
    Red Faction II                                          04/03/2003 
    Men In Black II: Alien Escape                           04/08/2003  
    Tom Clancy's Splinter Cell                              04/08/2003  
    Burnout 2: Point of Impact                              04/09/2003 
    Backyard Baseball (GCN)                                 04/12/2003 
    Tube Slider                                             04/15/2003   
    X2 Wolverine's Revenge (GCN)                            04/16/2003  
    Ikaruga                                                 04/16/2003  
    Conflict: Desert Storm                                  04/23/2003    
    NBA Street Vol. 2                                       04/26/2003 
    City Racer                                              05/07/2003    
    Disney/Pixar's Finding Nemo                             05/13/2003 
    Speed Kings                                             05/15/2003  
    Enter the Matrix                                        05/15/2003  
    Lost Kingdoms II                                        05/22/2003  
    Hulk, The                                               05/27/2003   
    Shrek: Super Party                                      05/27/2003    
    Ultimate Muscle: Legends vs. New Generation (GCN)       06/07/2003  
    Mega Man Network Transmission                           06/17/2003   
    Hitman 2: Silent Assassin                               06/17/2003  
    Sonic Adventure DX: Director's Cut                      06/17/2003     
    Wario World                                             06/23/2003 
    SX Superstar                                            06/30/2003  
    Charlie's Angels                                        07/09/2003   
    Italian Job, The                                        07/15/2003  
    Dinotopia: The Sunstone Odyssey                         07/23/2003    
    Aquaman: Battle for Atlantis                            07/28/2003      
    Mario Golf: Toadstool Tour                              07/28/2003  
    Rally Championship                                      07/28/2003  
    Freaky Flyers                                           08/05/2003  
    Madden NFL 2004                                         08/12/2003  
    F-Zero GX                                               08/25/2003  
    Soul Calibur II                                         08/26/2003   
    Buffy the Vampire Slayer: Chaos Bleeds                  08/26/2003  
    Disney's Extreme Skate Adventure (GCN)                  09/08/2003  
    Product Number 03 (P.N. 03)                             09/10/2003 
    Adventures of Jimmy Neutron Boy Genius, The: Jet Fusion 09/15/2003 
    Disney's Party                                          09/15/2003 
    Simpsons Hit & Run, The                                 09/15/2003   
    Drome Racers                                            09/15/2003  
    Spirits & Spells                                        09/22/2003   
    Tiger Woods PGA Tour 2004                               09/23/2003   
    Beyblade Super Tournament Battle                        09/23/2003    
    Billy Hatcher and The Giant Egg                         09/23/2003   
    Wallace & Gromit in Project Zoo                         09/23/2003  
    NHL Hitz: Pro                                           09/25/2003     
    Grooverider: Slot Car Thunder                           09/30/2003 
    Auto Modellista                                         09/30/2003  
    Freedom Fighters                                        10/01/2003  
    NHL 2004                                                10/03/2003  
    Freestyle MetalX                                        10/06/2003  
    Viewtiful Joe                                           10/07/2003  
    Kirby Air Ride                                          10/13/2003  
    NBA Live 2004                                           10/15/2003  
    Tak and the Power of Juju                               10/15/2003  
    Haunted Mansion, The                                    10/17/2003      
    SSX 3                                                   10/20/2003  
    Bionicle                                                10/20/2003  
    Star Wars: Rogue Squadron III: Rebel Strike             10/21/2003   
    Teenage Mutant Ninja Turtles                            10/21/2003  
    SpongeBob SquarePants: Battle for Bikini Bottom         10/28/2003  
    Rogue Ops                                               10/28/2003 
    Harry Potter: Quidditch World Cup (GCN)                 10/28/2003  
    Tony Hawk's Underground (GCN)                           10/28/2003 
    Dragon Ball Z: Budokai                                  10/28/2003 
    Yu-Gi-Oh!: Falsebound Kingdom                           11/02/2003 
    Gladius                                                 11/04/2003   
    RoadKill                                                11/04/2003     
    FIFA Soccer 2004                                        11/04/2003 
    Fairly OddParents, The: Breakin' Da Rules               11/04/2003   
    True Crime: Streets of L.A.                             11/04/2003 
    Frogger's Adventures: The Rescue                        11/04/2003   
    Lord of the Rings, The: The Return of the King          11/05/2003  
    Sphinx and the Cursed Mummy                             11/11/2003  
    Hobbit, The                                             11/11/2003   
    Batman: Rise of Sin Tzu                                 11/11/2003 
    Crash Nitro Kart                                        11/11/2003   
    Mario Party 5                                           11/11/2003    
    Medal of Honor: Rising Sun                              11/11/2003   
    Legend of Zelda, The: Collector's Edition               11/17/2003    
    Mario Kart: Double Dash!!                               11/17/2003       
    Need for Speed Underground                              11/17/2003  
    Go! Go! Hypergrind                                      11/18/2003     
    Metal Arms: Glitch In the System                        11/18/2003   
    Muppet Party Cruise, The                                11/18/2003      
    Prince of Persia: The Sands of Time                     11/18/2003 
    Disney's Hide & Sneak                                   11/20/2003 
    Tonka Rescue Patrol                                     11/21/2003   
    Looney Tunes: Back In Action (GCN)                      11/24/2003 
    Tom and Jerry in War of the Whiskers                    11/25/2003  
    XGRA: Extreme-G Racing Association                      11/25/2003  
    XIII                                                    11/25/2003   
    Powerpuff Girls: Relish Rampage Pickled Edition         11/26/2003  
    Spawn: Armageddon                                       11/30/2003  
    1080° Avalanche                                         12/01/2003     
    Pokemon Channel                                         12/01/2003 
    Gotcha Force                                            12/02/2003 
    Resident Evil: Code Veronica X                          12/02/2003
    Beyond Good & Evil                                      12/03/2003 
    I-Ninja                                                 12/04/2003 
    NFL Blitz: Pro                                          12/04/2003    
    Harry Potter and the Sorcerer's Stone (GCN)             12/09/2003  
    R: Racing Evolution                                     12/09/2003 
    Medabots Infinity                                       12/11/2003 
    Monster 4x4: Masters of Metal                           12/12/2003 
    Goblin Commander: Unleash the Horde                     12/16/2003 
    Pac-Man Vs.                                             12/16/2003 
    Sims, The: Bustin' Out                                  12/16/2003  
    Midway Arcade Treasures                                 12/17/2003 

    Year 2004 (98 games).

    Sonic Heroes    Action     E   01/06/2004  
    NFL Street  Football       E   01/13/2004  
    Conflict Desert Storm II: Back to Baghdad   Action     T   01/20/2004    
    Freestyle Street Soccer     Soccer, Sports     T   01/27/2004 
    Final Fantasy: Crystal Chronicles   Adventure, RPG     T   02/09/2004     
    James Bond 007: Everything or Nothing   Action     T   02/17/2004   
    Pitfall: The Lost Expedition    Action     E   02/20/2004 
    BlowOut     Action     T   02/27/2004   
    Phantasy Star Online Episode III: C.A.R.D. Revolution   RPG        T   03/02/2004   
    Scooby Doo! Mystery Mayhem  Adventure      E   03/03/2004    
    Bomberman Jetters   Action     E   03/09/2004  
    Metal Gear Solid: The Twin Snakes   Action     M   03/09/2004   
    MVP Baseball 2004   Baseball       E   03/09/2004 
    Worms 3D    Strategy       T   03/11/2004  
    Mission: Impossible -- Operation Surma  Action     T   03/16/2004     
    Harvest Moon: A Wonderful Life  RPG        E   03/16/2004   
    Samurai Jack: The Shadow of Aku     Action     T   03/23/2004     
    Pokemon Colosseum   RPG        E   03/24/2004      
    WarioWare, Inc.: Mega Party Game$   Action     E   04/05/2004     
    Serious Sam: Next Encounter     First Person       M   04/12/2004  
    Space Raiders   Action     T   04/21/2004 
    Road Trip: The Arcade Edition   Racing     E   04/21/2004 
    Top Angler: Real Bass Fishing   Fishing        E   04/28/2004  
    Shrek 2     Action     E   05/04/2004 
    Future Tactics: The Uprising    RPG        T   05/10/2004  
    Custom Robo     Action     T   05/10/2004     
    Harry Potter and the Prisoner of Azkaban    Adventure      E   06/02/2004  
    Legend of Zelda, The: Four Swords Adventures    Adventure      E   06/07/2004      
    Ribbit King     Golf, Sports       E   06/08/2004    
    Tom Clancy's Rainbow Six 3  Action     M   06/16/2004  
    Mega Man Anniversary Collection     Action     E   06/22/2004   
    Spider-Man 2    Action, Adventure      T   06/28/2004 
    Pool Paradise   Sports, Classic Games      E   07/05/2004     
    Tom Clancy's Splinter Cell: Pandora Tomorrow    Action     T   07/06/2004  
    Pokemon Box Ruby and Sapphire   Productivity       E   07/12/2004     
    Tales of Symphonia  RPG        T   07/13/2004 
    NCAA Football 2005  Football, Sports       E   07/14/2004  
    Puyo Pop Fever  Puzzles        E   07/20/2004      
    Catwoman    Action     T   07/23/2004  
    Madden NFL 2005     Football, Sports       E   08/09/2004 
    Army Men: Sarge's War   Action     T   08/10/2004      
    Lotus Challenge     Racing     E   08/10/2004      
    Amazing Island  Simulation     E   08/24/2004     
    Starsky & Hutch     Action     T   08/24/2004    
    Pikmin 2    Strategy       E   08/30/2004    
    Carmen Sandiego: The Secret of the Stolen Drums     Action     E   08/31/2004   
    SRS: Street Racing Syndicate    Racing     T   08/31/2004    
    NASCAR 2005: Chase for the Cup  Racing     E   08/31/2004   
    Digimon Rumble Arena 2  Action     T   09/02/2004  
    Terminator 3: The Redemption    Action     T   09/07/2004    
    Fairly OddParents, The: Shadow Showdown     Action     E   09/07/2004  
    Zoids: Battle Legends   Action     T   09/07/2004  
    Adventures of Jimmy Neutron Boy Genius, The: Attack of the Twonkies     Action     E   09/13/2004   
    Phantasy Star Online: Episode I & II Plus   RPG        T   09/14/2004       
    WWE Day of Reckoning    Sports, Wrestling      T   09/17/2004 
    Def Jam Fight for NY    Fighting       M   09/20/2004 
    Tiger Woods PGA Tour 2005   Golf, Sports       E   09/21/2004  
    X-Men Legends   RPG        T   09/21/2004    
    Bad Boys: Miami Takedown    Action     M   09/21/2004  Crave Entertainment  
    Second Sight    Action     T   09/21/2004
    NHL 2005    Sports, Hockey     E   09/22/2004 
    Power Rangers: Dino Thunder     Action     E   09/22/2004  
    Donkey Konga    Action, Rhythm     E   09/27/2004   
    Mega Man X: Command Mission     RPG        E   09/28/2004   
    NBA Live 2005   Basketball, Sports     E   09/28/2004  
    Dreamworks Shark Tale   Action     E   09/29/2004 
    Tony Hawk's Underground 2: World Destruction Tour   Sports, Extreme        T   10/04/2004   
    Trigger Man     Action, Adventure      T   10/04/2004   
    Disney/Pixar's The Incredibles  Action     T   10/04/2004 
    Paper Mario: The Thousand-Year Door     Action, RPG        E   10/11/2004      
    FIFA Soccer 2005    Soccer, Sports     E   10/12/2004  
    TY the Tasmanian Tiger 2: Bush Rescue   Action     E   10/12/2004  
    Midway Arcade Treasures II  Arcade     M   10/14/2004   
    Teenage Mutant Ninja Turtles 2: Battle Nexus    Action     T   10/20/2004 
    Scaler  Action     T   10/26/2004    
    Intellivision Lives! Arcade Classics    Arcade     E   10/26/2004   
    SpongeBob SquarePants Movie, The    Action     E   10/27/2004    
    Spyro: A Hero's Tail    Action     E   11/02/2004    
    Lord of the Rings, The: The Third Age   RPG        T   11/02/2004  
    Polar Express, The  Adventure      E   11/02/2004 
    Army Men: RTS   Strategy       T   11/03/2004      
    Mario Power Tennis  Sports, Tennis     E   11/08/2004    
    Lemony Snicket's A Series of Unfortunate Events     Action, Adventure      E   11/09/2004  
    URBZ, The: Sims in the City     Simulation     T   11/09/2004 
    Metroid Prime 2 Echoes  Adventure, First Person        T   11/15/2004     
    Need for Speed Underground 2    Racing     E   11/15/2004   
    Baten Kaitos: Eternal Wings and the Lost Ocean  RPG        T   11/16/2004    
    Call of Duty: Finest Hour   First Person       T   11/17/2004 
    MC Groovz Dance Craze   Action     E   11/17/2004     
    Viewtiful Joe 2     Action     T   11/18/2004 
    GoldenEye: Rogue Agent  Action     T   11/22/2004   
    King Arthur     Action, Adventure      T   11/22/2004   
    Alien Hominid   Action     T   11/23/2004      
    Prince of Persia: Warrior Within    Action     M   11/30/2004  
    Mario Party 6   Action, Board Games        E   12/06/2004     
    Cabela's Big Game Hunters 2005 Adventures   Budget Price, First Person, Sports     T   12/07/2004 
    Dragon Ball Z: Budokai 2    Fighting       T   12/12/2004     
    NFL Street 2    Sports, Football       E   12/26/2004 

    Year 2005 (92 games).

    Resident Evil 4     Action, Adventure      M   01/11/2005 
    NBA Street Vol. 3   Sports, Basketball     E   02/08/2005 
    Disney's Winnie the Pooh: Rumbly Tumbly Adventure   Adventure, Action      E   02/10/2005  
    Star Fox: Assault   Arcade, Shooter        T   02/14/2005  
    FIFA Street     Soccer, Sports     E   02/22/2005 
    Judge Dredd: Dredd vs. Death    First Person       M   02/22/2005    
    Robots  Action     E   02/23/2005    
    Mortal Kombat: Deception    Fighting       M   02/28/2005    
    Fight Night Round 2     Boxing, Sports     T   03/01/2005 
    MVP Baseball 2005   Baseball       E   03/01/2005  
    Rave Master     Fighting       T   03/08/2005 
    Donkey Kong Jungle Beat     Action     E 10+   03/14/2005    
    Teenage Mutant Ninja Turtles: Mutant Melee  Action     T   03/15/2005    
    Tom Clancy's Ghost Recon 2  First Person       T   03/15/2005  
    TimeSplitters: Future Perfect   First Person       M   03/21/2005    
    Pinball Hall of Fame    Pinball        E   03/22/2005   
    Strike Force Bowling    Sports, Miscellaneous      E   03/22/2005 
    Dragon Ball Z: Sagas    Action     T   03/22/2005
    Tom Clancy's Splinter Cell: Chaos Theory    Adventure      M   03/31/2005 
    Donkey Konga 2  Action, Rhythm     T   05/09/2005
    Madagascar  Action     E 10+   05/24/2005    
    Digimon World 4     Action     E   06/03/2005  
    Medal of Honor: European Assault    First Person       T   06/06/2005  
    Batman Begins   Action     T   06/15/2005 
    Fantastic 4     Action     T   06/28/2005  
    Killer 7    Action     M   07/07/2005 
    Charlie & the Chocolate Factory     Action, Adventure      E   07/22/2005 
    Harvest Moon: Another Wonderful Life    RPG        E   07/26/2005
    Madden NFL 06   Football, Sports       E   08/09/2005   
    Geist   Adventure, First Person        M   08/15/2005   
    Hello Kitty: Roller Rescue  Adventure      E   08/16/2005   
    Sonic Gems Collection   Action     E   08/16/2005    
    Incredible Hulk, The: Ultimate Destruction  Action     T   08/23/2005    
    Mario Superstar Baseball    Baseball, Sports       E   08/29/2005      
    WWE Day of Reckoning 2  Sports, Wrestling      T   08/29/2005    
    Namco Museum 50th Anniversary   Arcade     E 10+   08/30/2005   
    One Piece: Grand Battle     Fighting       T   09/13/2005 
    Animaniacs: The Great Edgar Hunt    Action, Adventure      E   09/13/2005      
    Scooby-Doo! Unmasked    Action, Adventure      E   09/13/2005  
    Cabela's Outdoor Adventures '06     Action, Fishing        T   09/14/2005  
    Battalion Wars  Action, Strategy       T   09/19/2005     
    Marvel Nemesis: Rise of the Imperfects  Action     T   09/20/2005  
    X-Men Legends II: Rise of Apocalypse    Action, RPG        T   09/21/2005   
    Tiger Woods PGA TOUR 06     Golf       E   09/22/2005  
    Tak: The Great Juju Challenge   Adventure      E   09/22/2005   
    World Series of Poker   Card Games     E 10+   09/27/2005 
    Tom Clancy's Rainbow Six: Lockdown  Action     M   09/27/2005  
    Ultimate Spider-Man     Action     T   09/27/2005 
    Frogger: Ancient Shadow     Action     E   09/27/2005    
    NBA Live 06     Basketball     E   09/28/2005 
    Pokemon XD: Gale of Darkness    RPG        E   10/03/2005    
    Bratz: Rock Angelz  Adventure      E   10/04/2005  
    FIFA Soccer 06  Sports, Soccer     E   10/04/2005 
    SSX on Tour     Extreme, Sports        E 10+   10/11/2005  
    Zatch Bell! Mamodo Battles  Fighting       T   10/11/2005   
    Tasmanian Tiger 3: Night of the Quinkan     Action     E 10+   10/11/2005 
    Fire Emblem: Path of Radiance   RPG, Strategy      T   10/17/2005     
    SpongeBob Squarepants: Lights, Camera, PANTS!   Action     E   10/18/2005   
    Disney's Chicken Little     Action     E 10+   10/18/2005      
    Tony Hawk's American Wasteland  Extreme        T   10/18/2005 
    Dora the Explorer: Journey to the Purple Planet     Adventure      EC  10/18/2005     
    Crash Tag Team Racing   Racing     E 10+   10/18/2005 
    Codename Kids Next Door: Operation V.I.D.E.O.G.A.M.E.   Action     E 10+   10/19/2005     
    Dance Dance Revolution: Mario Mix   Action, Rhythm     E   10/24/2005      
    Nicktoons Unite!    Action, Adventure      E   10/25/2005 
    Spartan: Total Warrior  Action     M   10/25/2005 
    LEGO Star Wars: The Video Game  Action     E   10/25/2005  
    Ed, Edd n Eddy: The Mis-Edventures  Adventure      E   10/25/2005  
    Midway Arcade Treasures 3   Arcade     E   10/25/2005    
    Sims 2, The     Simulation     T   10/25/2005  
    Mark Davis Pro Bass Challenge   Fishing, Sports        E   10/25/2005  
    Teenage Mutant Ninja Turtles 3: Mutant Nightmare    Action     E 10+   11/01/2005  
    Call of Duty 2: Big Red One     First Person       T   11/01/2005   
    Disney/Pixar's The Incredibles: Rise of the Underminer  Action     E 10+   11/01/2005  
    SeaWorld Adventure Parks: Shamu's Deep Sea Adventure    Action     E   11/01/2005 
    Mario Party 7   Action     E   11/07/2005  
    Gun     Action     M   11/08/2005 
    Viewtiful Joe Red Hot Rumble    Action     T   11/08/2005    
    Karaoke Revolution Party    Action, Rhythm     E 10+   11/08/2005     
    Harry Potter and the Goblet of Fire     Adventure      E 10+   11/15/2005 
    True Crime: New York City   Action     M   11/15/2005 
    Shadow the Hedgehog     Action     E 10+   11/15/2005    
    From Russia with Love   Action     T   11/15/2005  
    Need For Speed: Most Wanted     Racing     T   11/15/2005    
    Cabela's Dangerous Hunts 2  Hunting, Sports        T   11/16/2005  
    Pac-Man World 3     Action     E   11/22/2005 
    Peter Jackson's King Kong: The Official Game of the Movie   Action     T   11/22/2005  
    Chronicles of Narnia, The: The Lion, the Witch and the Wardrobe     Action, Adventure      T   11/22/2005
    American Chopper 2: Full Throttle   Racing, Motorcycle     T   11/28/2005  
    Super Mario Strikers    Soccer     E   12/05/2005    
    Prince of Persia: The Two Thrones   Action     M   12/06/2005  
    Chaos Field     Action     E   12/13/2005  


    Year 2006 (46 games).

    Mega Man X Collection   Action     E   01/10/2006  
    Curious George  Action     E   02/01/2006  
    Chibi-Robo  Action     E 10+   02/06/2006       
    Sonic Riders    Racing     E   02/21/2006   
    FIFA Street 2   Soccer     E   02/28/2006  
    Naruto: Clash of Ninja  Fighting       T   03/07/2006    
    Ice Age 2: The Meltdown     Action     E 10+   03/14/2006      
